date,max_temp,min_temp,crowd_level
2014-09-01,82,68,6
2014-09-02,83,69,2
2014-09-03,82,69,1
2014-09-04,81,68,2
2014-09-05,85,66,2
2014-09-06,91,67,3
2014-09-07,93,69,3
2014-09-08,87,74,2
2014-09-09,89,71,2
2014-09-10,90,65,2
2014-09-11,93,68,2
2014-09-12,92,69,2
2014-09-13,93,69,4
2014-09-14,100,71,2
2014-09-15,98,73,2
2014-09-16,99,74,3
2014-09-17,95,75,2
2014-09-18,82,68,2
2014-09-19,80,69,3
2014-09-20,79,68,5
2014-09-21,81,67,5
2014-09-22,82,62,5
2014-09-23,86,62,5
2014-09-24,93,63,3
2014-09-25,89,69,4
2014-09-26,81,66,4
2014-09-27,76,63,7
2014-09-28,77,64,5
2014-09-29,82,62,4
2014-09-30,86,62,2
2014-10-01,81,65,2
2014-10-02,98,61,3
2014-10-03,100,61,3
2014-10-04,95,62,5
2014-10-05,89,62,6
2014-10-06,91,61,4
2014-10-07,92,64,6
2014-10-08,84,64,4
2014-10-09,77,68,7
2014-10-10,80,65,5
2014-10-11,82,65,8
2014-10-12,78,66,7
2014-10-13,79,66,8
2014-10-14,77,68,4
2014-10-15,78,66,6
2014-10-16,77,62,5
2014-10-17,77,61,4
2014-10-18,77,64,7
2014-10-19,77,60,6
2014-10-20,77,64,3
2014-10-21,78,65,4
2014-10-22,82,58,3
2014-10-23,85,59,4
2014-10-24,86,58,3
2014-10-25,81,63,8
2014-10-26,75,61,7
2014-10-27,76,58,3
2014-10-28,79,58,3
2014-10-29,85,57,2
2014-10-30,80,59,3
2014-10-31,71,60,3
2014-11-01,67,57,4
2014-11-02,69,52,5
2014-11-03,75,50,4
2014-11-04,81,51,3
2014-11-05,88,51,1
2014-11-06,91,57,3
2014-11-07,90,56,3
2014-11-08,88,55,5
2014-11-09,75,58,7
2014-11-10,70,63,8
2014-11-11,69,64,7
2014-11-12,69,58,3
2014-11-13,70,56,4
2014-11-14,72,61,5
2014-11-15,71,57,7
2014-11-16,76,56,6
2014-11-17,79,56,4
2014-11-18,79,51,4
2014-11-19,72,52,3
2014-11-20,70,52,4
2014-11-21,71,56,4
2014-11-22,71,52,8
2014-11-23,80,52,8
2014-11-24,82,49,10
2014-11-25,82,49,10
2014-11-26,85,49,8
2014-11-27,89,51,7
2014-11-28,79,50,9
2014-11-29,72,49,8
2014-11-30,67,59,5
2014-12-01,70,58,5
2014-12-02,63,59,2
2014-12-03,67,61,2
2014-12-04,70,60,7
2014-12-05,69,56,6
2014-12-06,73,57,8
2014-12-07,76,54,6
2014-12-08,78,55,3
2014-12-09,75,52,4
2014-12-10,70,53,4
2014-12-11,67,59,5
2014-12-12,64,55,2
2014-12-13,65,49,9
2014-12-14,65,47,7
2014-12-15,65,47,6
2014-12-16,61,55,3
2014-12-17,65,52,4
2014-12-18,63,48,5
2014-12-19,68,49,4
2014-12-20,63,49,9
2014-12-21,67,51,9
2014-12-22,73,49,10
2014-12-23,81,50,10
2014-12-24,74,51,8
2014-12-25,67,50,10
2014-12-26,64,43,10
2014-12-27,64,45,10
2014-12-28,62,40,10
2014-12-29,62,41,10
2014-12-30,58,47,10
2014-12-31,63,41,9
2015-01-01,58,36,9
2015-01-02,60,38,10
2015-01-03,62,40,9
2015-01-04,69,40,8
2015-01-05,81,44,8
2015-01-06,85,49,8
2015-01-07,80,48,6
2015-01-08,71,49,6
2015-01-09,70,54,5
2015-01-10,63,51,6
2015-01-11,63,56,2
2015-01-12,65,54,3
2015-01-13,70,55,3
2015-01-14,73,48,2
2015-01-15,76,46,2
2015-01-16,72,46,5
2015-01-17,75,47,8
2015-01-18,72,50,8
2015-01-19,68,48,6
2015-01-20,63,54,3
2015-01-21,73,55,2
2015-01-22,73,47,1
2015-01-23,77,46,2
2015-01-24,82,55,5
2015-01-25,82,55,4
2015-01-26,77,57,2
2015-01-27,72,54,2
2015-01-28,74,53,1
2015-01-29,75,59,2
2015-01-30,69,60,5
2015-01-31,70,56,7
2015-02-01,74,49,7
2015-02-02,73,49,2
2015-02-03,71,54,3
2015-02-04,71,55,2
2015-02-05,75,53,3
2015-02-06,73,54,3
2015-02-07,72,53,9
2015-02-08,78,59,8
2015-02-09,74,58,6
2015-02-10,76,51,3
2015-02-11,87,51,2
2015-02-12,88,55,4
2015-02-13,87,55,6
2015-02-14,85,55,9
2015-02-15,76,53,9
2015-02-16,70,55,9
2015-02-17,70,57,8
2015-02-18,72,53,5
2015-02-19,72,56,5
2015-02-20,68,55,6
2015-02-21,68,57,6
2015-02-22,65,54,5
2015-02-23,65,51,5
2015-02-24,73,46,5
2015-02-25,71,49,5
2015-02-26,68,50,6
2015-02-27,65,54,7
2015-02-28,64,55,6
2015-03-01,62,51,5
2015-03-02,61,50,2
2015-03-03,66,46,4
2015-03-04,73,47,2
2015-03-05,78,46,2
2015-03-06,87,47,3
2015-03-07,86,52,6
2015-03-08,74,53,6
2015-03-09,71,54,7
